Priority,ICPP22,TOPC24,Fair,minTime,minArea,Topt
length,1527941040866.1218,1527941040866.1218,1527941040866.1218,2140240984313.577,10747748277717.0,1096844333192.002,1096844333192.002,781064092194.1102
FIFO,1729553796238.5989,1729553796238.5989,1729553796238.5989,2276824751908.006,10338407407706.0,1234595566287.2383,1129146456498.2773,1234595566287.2383
procs,1788753240108.51,1788753240108.51,1788753240108.51,2436846147747.5596,10338407407706.0,1234595566287.2383,1129146456498.2773,1234595566287.2383
area,1944094421587.2546,1944094421587.2546,1944094421587.2546,2441060430246.366,10338407407706.0,1234595566287.2383,1129146456498.2773,1234595566287.2383
length,1977684118223.3496,1977684118223.3496,1977684118223.3496,2436548729619.316,10338407407706.0,1234595566287.2383,1129146456498.2773,1234595566287.2383
FIFO,3415748677877.798,3415748677877.798,3415748677877.798,3499922881994.5513,12505841437087.0,2886631786459.3374,1139972068575.504,2886631786459.3374
procs,3467888048721.4136,3467888048721.4136,3467888048721.4136,3725655337402.311,12505841437087.0,2886631786459.3374,1139972068575.504,2886631786459.3374
area,3591701192570.6465,3591701192570.6465,3591701192570.6465,4006954156138.9595,12505841437087.0,2886631786459.3374,1139972068575.504,2886631786459.3374
length,3605698751178.543,3605698751178.543,3605698751178.543,4102451125325.9688,12505841437087.0,2886631786459.3374,1139972068575.504,2886631786459.3374
FIFO,3067331947286.6196,3067331947286.6196,3067331947286.6196,4137629580250.533,12389859604802.0,2795022697069.366,1182340695091.8457,2795022697069.366
procs,3075184806676.855,3075184806676.855,3075184806676.855,4163305188041.334,12389859604802.0,2795022697069.366,1182340695091.8457,2795022697069.366
area,3414842756538.354,3414842756538.354,3414842756538.354,4177542140380.754,12389859604802.0,2795022697069.366,1182340695091.8457,2795022697069.366
length,3409293442107.5737,3409293442107.5737,3409293442107.5737,4172336922056.2744,12389859604802.0,2795022697069.366,1182340695091.8457,2795022697069.366
FIFO,1442009329378.8638,1442009329378.8638,1442009329378.8638,1717387084597.4106,11250975367505.0,1105807167604.912,1105807167604.912,851919495336.6428
procs,1529311279325.0852,1529311279325.0852,1529311279325.0852,1884767430667.3767,11250975367505.0,1105807167604.912,1105807167604.912,851919495336.6428
area,1608682810889.1333,1608682810889.1333,1608682810889.1333,1999654341183.714,11250975367505.0,1105807167604.912,1105807167604.912,851919495336.6428
length,1613991496645.918,1613991496645.918,1613991496645.918,2139260575195.3364,11250975367505.0,1105807167604.912,1105807167604.912,851919495336.6428
FIFO,1399998506815.753,1399998506815.753,1399998506815.753,1527489501843.1423,11536145197028.0,1140528287699.8164,1140528287699.8164,764276127359.5972
procs,1413436642653.6663,1413436642653.6663,1413436642653.6663,1907437729879.0288,11536145197028.0,1140528287699.8164,1140528287699.8164,764276127359.5972
area,1482074485547.499,1482074485547.499,1482074485547.499,2042921761520.6333,11536145197028.0,1140528287699.8164,1140528287699.8164,764276127359.5972
length,1502267163702.8665,1502267163702.8665,1502267163702.8665,1934515047400.5127,11536145197028.0,1140528287699.8164,1140528287699.8164,764276127359.5972
FIFO,2405450926762.0703,2405450926762.0703,2405450926762.0703,2852074689950.493,12583639631892.0,1940591761106.8574,1139378703660.5234,1940591761106.8574
procs,2384244234400.3154,2384244234400.3154,2384244234400.3154,4027781168799.2075,12583639631892.0,1940591761106.8574,1139378703660.5234,1940591761106.8574
